Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	collecting_institution	ENA-FIRST-PUBLIC (run)	ENA_first_public	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	geographic_location_(country_and/or_sea)	host_scientific_name	sample_capture_status	Library Name	External_Id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	sample_name	Submitter_Id	INSDC_center_alias	Broker_name	geographic_location_(region_and_locality)	AssemblyName	artic_primer_version (exp)	Isolate	host_subject_id	collector_name	host_common_name	host_health_state	host_sex	definition_for_seropositive_sample	serotype_(required_for_a_seropositive_sample)	virus_identifier	receipt_date	common_name	Host_Age	isolation_source-host_associated	BioSampleModel	collected_by	geo_loc_name	Host_disease	Host	Isolation_Source	Lat_Lon	max_cycle_threshold	min_cycle_threshold	strain	GISAID_virus_name	purpose_of_sequencing	anatomical_part	body_product	geographic_location_(latitude)	geographic_location_(longitude)	gisaid_accession	purpose_of_sampling	SUBMISSION_TOOL (exp)	SUBMISSION_TOOL (run)	submission_tool	dehosting_method (run)	sequenced_by
ERR5276272	AMPLICON	418	479671577	PRJEB37886	SAMEA8014037	49527122	WELLCOME SANGER INSTITUTE	2021/1/4	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5066608	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8014037	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657949G / DN764996G:B16	SAMEA8014037	Wellcome Sanger Institute	2021-02-09T20:59:38Z	2021-02-09T20:59:38Z	public	COG-UK/MILK-F6DDFC	COG-UK/MILK-F6DDFC	SC	SC	England	assembly	3																																				
ERR5276318	AMPLICON	419	683636761	PRJEB37886	SAMEA8014083	66063636	WELLCOME SANGER INSTITUTE	2020/12/28	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5066654	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8014083	ERP121228	Lighthouse Lab in Glasgow	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657949G / DN764996G:F19	SAMEA8014083	Wellcome Sanger Institute	2021-02-09T20:59:39Z	2021-02-09T20:59:39Z	public	COG-UK/QEUH-D5570A	COG-UK/QEUH-D5570A	SC	SC	England	assembly	3																																				
ERR5276511	AMPLICON	420	818749039	PRJEB37886	SAMEA8014277	76630069	WELLCOME SANGER INSTITUTE	2021/1/28	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5066847	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8014277	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657947E / DN765113N:A9	SAMEA8014277	Wellcome Sanger Institute	2021-02-09T21:00:53Z	2021-02-09T21:00:53Z	public	COG-UK/MILK-11A2AFF	COG-UK/MILK-11A2AFF	SC	SC	England	assembly	3																																				
SRR13780586	AMPLICON	298	74767604	PRJNA622837	SAMN17906327	30684876	BROAD_GCID	2021/1/27	public	"activ_sars2_vcf,bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10166166	USA	North America	NextSeq 550	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-24T00:00:00Z	USA/MA-Broad_CRSP-00844/2021	SRP266465									USA-MA-Broad_CRSP-00844-2021.l000013221203_D12													SARS-CoV-2/Human/USA/MA-Broad_CRSP-00844/2021	MA-Broad_CRSP-00844												"Pathogen.cl,Pathogen.cl"	Broad Institute Clinical Research Sequencing Platform	USA: Massachusetts	COVID-19	Homo sapiens	clinical	missing					Baseline surveillance (random sampling)	Nasopharynx (NP)	Mucus				Diagnostic Testing					
ERR5182754	AMPLICON	419	326477730	PRJEB37886	SAMEA7862493	40319763	WELLCOME SANGER INSTITUTE	2021/1/4	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4987601	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7862493	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655475I / DN739187J:C16	SAMEA7862493	Wellcome Sanger Institute	2021-01-25T22:10:54Z	2021-01-25T22:10:54Z	public	COG-UK/MILK-ECDFC8	COG-UK/MILK-ECDFC8	SC	SC	England	assembly	3																																				
ERR5184154	AMPLICON	420	779499646	PRJEB37886	SAMEA7863895	73124553	WELLCOME SANGER INSTITUTE	2021/1/5	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4989001	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7863895	ERP121228	Lighthouse Lab in Glasgow	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655550C / DN740570E:H18	SAMEA7863895	Wellcome Sanger Institute	2021-01-25T22:16:17Z	2021-01-25T22:16:17Z	public	COG-UK/QEUH-EF8E9A	COG-UK/QEUH-EF8E9A	SC	SC	England	assembly	3																																				
ERR5308286	AMPLICON	419	728405013	PRJEB37886	SAMEA8077394	74230003	WELLCOME SANGER INSTITUTE	2020/12/16	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5097693	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8077394	ERP121228	Lighthouse Lab in Glasgow	2021/2/16	2021/2/15	2021/2/15	2021/2/15	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657949G / DN764996G:C2	SAMEA8077394	Wellcome Sanger Institute	2021-02-15T18:57:33Z	2021-02-15T18:57:33Z	public	COG-UK/QEUH-F389E7	COG-UK/QEUH-F389E7	SC	SC	Scotland	assembly	3																																				
ERR5314845	AMPLICON	420	722198362	PRJEB37886	SAMEA8097636	66296361	WELLCOME SANGER INSTITUTE	2021/2/4	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5104248	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8097636	ERP121228	Lighthouse Lab in Alderley Park	2021/2/16	2021/2/16	2021/2/16	2021/2/16	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659183P / HT-111379:D4	SAMEA8097636	Wellcome Sanger Institute	2021-02-16T15:41:16Z	2021-02-16T15:41:16Z	public	COG-UK/ALDP-121DAFE	COG-UK/ALDP-121DAFE	SC	SC	England	assembly	3																																				
ERR5315656	AMPLICON	420	913607551	PRJEB37886	SAMEA8098442	91205202	WELLCOME SANGER INSTITUTE	2021/2/3	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5105059	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8098442	ERP121228	Lighthouse Lab in Alderley Park	2021/2/16	2021/2/16	2021/2/16	2021/2/16	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659198W / HT-111383:A5	SAMEA8098442	Wellcome Sanger Institute	2021-02-16T15:42:23Z	2021-02-16T15:42:23Z	public	COG-UK/ALDP-121F045	COG-UK/ALDP-121F045	SC	SC	England	assembly	3																																				
ERR5316615	AMPLICON	420	1203190586	PRJEB37886	SAMEA8099401	121658689	WELLCOME SANGER INSTITUTE	2021/1/27	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5106018	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8099401	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/16	2021/2/16	2021/2/16	2021/2/16	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659254N / DN771056K:E12	SAMEA8099401	Wellcome Sanger Institute	2021-02-16T15:43:07Z	2021-02-16T15:43:07Z	public	COG-UK/MILK-11C2F63	COG-UK/MILK-11C2F63	SC	SC	England	assembly	3																																				
ERR5323346	AMPLICON	419	212971027	PRJEB37886	SAMEA8105391	16626364	WELLCOME SANGER INSTITUTE	2021/2/10	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5112409	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8105391	ERP121228	Lighthouse Lab in Cambridge	2021/2/18	2021/2/18	2021/2/18	2021/2/18	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659619W / EGC000095:A4	SAMEA8105391	Wellcome Sanger Institute	2021-02-18T14:00:06Z	2021-02-18T14:00:06Z	public	COG-UK/CAMC-126377A	COG-UK/CAMC-126377A	SC	SC	England	assembly	3																																				
SRR13727362	AMPLICON	300	539303700	PRJNA622837	SAMN17906327	197980524	BROAD_GCID	2021/1/27	public	"activ_sars2_vcf,bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10115230	USA	North America	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-16T00:00:00Z	USA/MA-Broad_CRSP-00844/2021	SRP266465									USA-MA-Broad_CRSP-00844-2021.l000013221003_D12													SARS-CoV-2/Human/USA/MA-Broad_CRSP-00844/2021	MA-Broad_CRSP-00844												"Pathogen.cl,Pathogen.cl"	Broad Institute Clinical Research Sequencing Platform	USA: Massachusetts	COVID-19	Homo sapiens	clinical	missing					Baseline surveillance (random sampling)	Nasopharynx (NP)	Mucus				Diagnostic Testing					
ERR5324772	AMPLICON	420	418397334	PRJEB37886	SAMEA8106546	34971256	WELLCOME SANGER INSTITUTE	2021/2/9	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5113835	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8106546	ERP121228	Lighthouse Lab in Alderley Park	2021/2/19	2021/2/18	2021/2/18	2021/2/18	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659659H / HT-111408:F3	SAMEA8106546	Wellcome Sanger Institute	2021-02-18T17:03:24Z	2021-02-18T17:03:24Z	public	COG-UK/ALDP-1277E8D	COG-UK/ALDP-1277E8D	SC	SC	England	assembly	3																																				
ERR5292107	AMPLICON	420	994948758	PRJEB37886	SAMEA8058709	86892212	WELLCOME SANGER INSTITUTE	2021/1/28	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5081772	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8058709	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/12	2021/2/12	2021/2/12	2021/2/12	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658055E / DN766082E:L13	SAMEA8058709	Wellcome Sanger Institute	2021-02-12T13:47:36Z	2021-02-12T13:47:36Z	public	COG-UK/MILK-11C130E	COG-UK/MILK-11C130E	SC	SC	England	assembly	3																																				
ERR5175194	AMPLICON	419	728088748	PRJEB37886	SAMEA7854873	70573839	WELLCOME SANGER INSTITUTE	2020/12/18	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4980041	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7854873	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655354A / DN729308S:H15	SAMEA7854873	Wellcome Sanger Institute	2021-01-25T17:11:27Z	2021-01-25T17:11:27Z	public	COG-UK/ALDP-CE20EA	COG-UK/ALDP-CE20EA	SC	SC	England	assembly	3																																				
ERR6063407	AMPLICON	277	97322037	PRJEB37886	SAMEA9207943	20179175	NORTHUMBRIA UNIVERSITY / SOUTH TEES HOSPITALS NHS 	2021/5/31	public	"activ_sars2_vcf,bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5702274	United Kingdom	Europe	NextSeq 550	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-06-15T00:00:00Z	SAMEA9207943	ERP121228	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	2021/6/15	2021/6/15	2021/6/15	2021/6/15	United Kingdom	Homo sapiens	active surveillance in response to outbreak		SAMEA9207943	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	2021-06-15T12:41:24Z	2021-06-15T12:41:24Z	public	COG-UK/NORT-1BCAD1C	COG-UK/NORT-1BCAD1C	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	COVID-19 Genomics UK Consortium	England		3	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	2021/6/2											16.85632675	16.62228923														
ERR5339606	AMPLICON	420	592309593	PRJEB37886	SAMEA8121060	49354864	WELLCOME SANGER INSTITUTE	2021/2/3	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5127994	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8121060	ERP121228	Randox Laboratories	2021/3/1	2021/2/22	2021/2/22	2021/2/22	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659719C / DN774039V:F3	SAMEA8121060	Wellcome Sanger Institute	2021-02-22T19:54:43Z	2021-02-22T19:54:43Z	public	COG-UK/RAND-1288B19	COG-UK/RAND-1288B19	SC	SC	England	assembly	3																																				
ERR5349541	AMPLICON	420	1064067534	PRJEB37886	SAMEA8125480	88055758	WELLCOME SANGER INSTITUTE	2021/2/8	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5137917	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8125480	ERP121228	Lighthouse Lab in Milton Keynes	2021/3/1	2021/2/23	2021/2/23	2021/2/23	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659658G / EGL000098:C5	SAMEA8125480	Wellcome Sanger Institute	2021-02-23T19:12:43Z	2021-02-23T19:12:43Z	public	COG-UK/MILK-126F4E0	COG-UK/MILK-126F4E0	SC	SC	England	assembly	3																																				
ERR5378445	AMPLICON	315	12978335	PRJEB37886	SAMEA8148774	1585859	WELLCOME SANGER INSTITUTE	2021/2/12	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5163386	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8148774	ERP121228	Lighthouse Lab in Milton Keynes	2021/3/1	2021/2/26	2021/2/26	2021/2/26	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659891N / DN775351H:D7	SAMEA8148774	Wellcome Sanger Institute	2021-02-26T22:58:25Z	2021-02-26T22:58:25Z	public	COG-UK/MILK-129BF9F	COG-UK/MILK-129BF9F	SC	SC	England	assembly	3																																				
ERR5379527	AMPLICON	420	890133942	PRJEB37886	SAMEA8149857	78541963	WELLCOME SANGER INSTITUTE	2021/2/15	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5164468	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8149857	ERP121228	Lighthouse Lab in Alderley Park	2021/3/1	2021/2/26	2021/2/26	2021/2/26	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659949O / HT-111494:A12	SAMEA8149857	Wellcome Sanger Institute	2021-02-26T22:59:45Z	2021-02-26T22:59:45Z	public	COG-UK/ALDP-12B8F8D	COG-UK/ALDP-12B8F8D	SC	SC	England	assembly	3																																				
ERR5304406	AMPLICON	418	743259912	PRJEB37886	SAMEA8073512	74755081	WELLCOME SANGER INSTITUTE	2021/1/13	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5093813	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8073512	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/16	2021/2/15	2021/2/15	2021/2/15	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657002K / DN750288K:J17	SAMEA8073512	Wellcome Sanger Institute	2021-02-15T18:46:56Z	2021-02-15T18:46:56Z	public	COG-UK/MILK-104057B	COG-UK/MILK-104057B	SC	SC	England	assembly	3																																				
ERR5308055	AMPLICON	420	769000710	PRJEB37886	SAMEA8077162	67627350	WELLCOME SANGER INSTITUTE	2021/1/27	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5097462	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8077162	ERP121228	Lighthouse Lab in Glasgow	2021/2/16	2021/2/15	2021/2/15	2021/2/15	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657790B / DN763699T:N5	SAMEA8077162	Wellcome Sanger Institute	2021-02-15T18:57:09Z	2021-02-15T18:57:09Z	public	COG-UK/QEUH-117107F	COG-UK/QEUH-117107F	SC	SC	Scotland	assembly	3																																				
ERR5308285	AMPLICON	419	755402876	PRJEB37886	SAMEA8077393	79940565	WELLCOME SANGER INSTITUTE	2020/12/16	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5097692	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8077393	ERP121228	Lighthouse Lab in Glasgow	2021/2/16	2021/2/15	2021/2/15	2021/2/15	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657949G / DN764996G:A2	SAMEA8077393	Wellcome Sanger Institute	2021-02-15T18:57:33Z	2021-02-15T18:57:33Z	public	COG-UK/QEUH-F38905	COG-UK/QEUH-F38905	SC	SC	Scotland	assembly	3																																				
ERR5329502	AMPLICON	420	1202635071	PRJEB37886	SAMEA8110247	112285967	WELLCOME SANGER INSTITUTE	2021/2/7	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5118480	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8110247	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/21	2021/2/19	2021/2/19	2021/2/19	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659632T / EGL000092:D6	SAMEA8110247	Wellcome Sanger Institute	2021-02-19T10:18:52Z	2021-02-19T10:18:52Z	public	COG-UK/MILK-1260670	COG-UK/MILK-1260670	SC	SC	England	assembly	3																																				
ERR5335577	AMPLICON	420	1241898235	PRJEB37886	SAMEA8119026	121363246	WELLCOME SANGER INSTITUTE	2021/2/9	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5123965	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8119026	ERP121228	Lighthouse Lab in Milton Keynes	2021/3/1	2021/2/22	2021/2/22	2021/2/22	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1659681F / EGL000109:A7	SAMEA8119026	Wellcome Sanger Institute	2021-02-22T12:27:12Z	2021-02-22T12:27:12Z	public	COG-UK/MILK-1282FE6	COG-UK/MILK-1282FE6	SC	SC	England	assembly	3																																				
ERR5042351	AMPLICON	419	1276218006	PRJEB37886	SAMEA7764689	127616063	WELLCOME SANGER INSTITUTE	2020/12/18	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4848699	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-01-07T00:00:00Z	SAMEA7764689	ERP121228	Lighthouse Lab in Alderley Park	2021/1/4	2021/1/4	2021/1/4	2021/1/4	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655322P / DN724626J:B10	SAMEA7764689	Wellcome Sanger Institute	2021-01-04T15:29:14Z	2021-01-04T15:29:14Z	public	COG-UK/ALDP-CB4807	COG-UK/ALDP-CB4807	SC	SC	England	assembly	3																																				
ERR5055114	AMPLICON	420	562375540	PRJEB37886	SAMEA7771460	50002393	WELLCOME SANGER INSTITUTE	2020/12/15	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4861183	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-01-11T00:00:00Z	SAMEA7771460	ERP121228	Lighthouse Lab in Alderley Park	2021/1/8	2021/1/7	2021/1/7	2021/1/7	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655356C / DN730481W:C8	SAMEA7771460	Wellcome Sanger Institute	2021-01-07T17:48:49Z	2021-01-07T17:48:49Z	public	COG-UK/ALDP-C8E7FA	COG-UK/ALDP-C8E7FA	SC	SC	England	assembly	3																																				
ERR5041217	AMPLICON	420	237655643	PRJEB37886	SAMEA7763551	22256687	WELLCOME SANGER INSTITUTE	2020/12/17	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4847565	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-01-10T00:00:00Z	SAMEA7763551	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/4	2021/1/4	2021/1/4	2021/1/4	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655314P / DN724233T:H12	SAMEA7763551	Wellcome Sanger Institute	2021-01-04T15:27:47Z	2021-01-04T15:27:47Z	public	COG-UK/MILK-CA9C09	COG-UK/MILK-CA9C09	SC	SC	England	assembly	3																																				
ERR5193130	AMPLICON	420	408827612	PRJEB37886	SAMEA7872573	40343179	WELLCOME SANGER INSTITUTE	2021/1/14	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4997974	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-15T00:00:00Z	SAMEA7872573	ERP121228	Lighthouse Lab in Alderley Park	2021/1/27	2021/1/26	2021/1/26	2021/1/26	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1656381H / DN748970C:L9	SAMEA7872573	Wellcome Sanger Institute	2021-01-26T20:39:47Z	2021-01-26T20:39:47Z	public	COG-UK/ALDP-101BD44	COG-UK/ALDP-101BD44	SC	SC	England	assembly	3																																				
ERR5197797	AMPLICON	419	756615905	PRJEB37886	SAMEA7878205	80730860	WELLCOME SANGER INSTITUTE	2021/1/13	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5002457	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-15T00:00:00Z	SAMEA7878205	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/28	2021/1/27	2021/1/27	2021/1/27	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657001J / DN750180W:B23	SAMEA7878205	Wellcome Sanger Institute	2021-01-27T20:34:43Z	2021-01-27T20:34:43Z	public	COG-UK/MILK-10504A8	COG-UK/MILK-10504A8	SC	SC	England	assembly	3																																				
